rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
151,spotify:track:65hNUaQSau704UtsRZVhKy,"Simar Panag, Tedi Pagg, Mickey Singh",Tu Hi Das De,TreeHouse V.H.T,147,152,9,172349,2020-03-12
152,spotify:track:5X5db3FrBOHbibrFKA02MQ,"Abhijeet Srivastava, Vishal-Shekhar","Chashni (From ""Bharat"")",T-Series,24,147,41,172288,2020-03-12
153,spotify:track:7HMmFQsKsljwTw8bS7lu19,Selena Gomez,Rare,Interscope Records,9,114,9,172225,2020-03-12
155,spotify:track:3iP6FDxr7k36zqSDscqZW7,"Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")",T-Series,112,149,41,170625,2020-03-12
157,spotify:track:0Xm3PXjA4kXu2GxBhkLk61,"Anirudh Ravichander, Vijay","Kutti Story (From ""Master"")",Sony Music Entertainment India Pvt. Ltd.,53,140,4,169820,2020-03-12
158,spotify:track:2dpaYNEQHiRxtZbfNsse99,"Marshmello, Bastille",Happier,Joytime Collective,17,160,55,169358,2020-03-12
159,spotify:track:6L4QbsQrP9ZiZdz9SfOSGV,"Pritam, Mohit Chauhan",Yeh Dooriyan,Sony Music Entertainment India Pvt. Ltd.,115,115,3,168258,2020-03-12
160,spotify:track:1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Thunder,Kid Ina Korner / Interscope,67,173,55,167904,2020-03-12
161,spotify:track:1Cv1YLb4q0RzL6pybtaMLo,Surfaces,Sunday Best,"Surfaces Music / TenThousand Projects, LLC",161,-1,1,167718,2020-03-12
162,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,blackbear,hot girl bummer,Alamo,20,162,26,166600,2020-03-12
163,spotify:track:4l0Mvzj72xxOpRrp6h8nHi,Selena Gomez,Lose You To Love Me,Interscope Records,2,168,21,166189,2020-03-12
164,spotify:track:74qF0JeFMVilMEeFDiQZ48,"Sunanda Sharma, Tanishk Bagchi, Jaani","Mummy Nu Pasand (From ""Jai Mummy Di"")",T-Series,34,142,12,166026,2020-03-12
165,spotify:track:3jjujdWJ72nww5eGnfs2E7,Harry Styles,Adore You,Columbia,41,158,14,166009,2020-03-12
166,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,"Maroon 5, Cardi B",Girls Like You (feat. Cardi B) - Cardi B Version,Interscope Records*,39,174,55,165253,2020-03-12
167,spotify:track:0JBhoxPKHJc1ZeJrjSt0VO,Gajendra Verma,Tera Ghata,Virtual Planet Production Pvt. Ltd.,167,-1,4,165129,2020-03-12
168,spotify:track:5sul5AkWmzi2fE70oS7mK9,Arijit Singh,"Ik Vaari Aa (From ""Raabta"")",T-Series,70,161,41,165098,2020-03-12
169,spotify:track:3IB5qOeMayvpOdHxYCL5tZ,"BTS, Sia",ON (Feat. Sia),BIGHIT MUSIC,30,87,3,163431,2020-03-12
170,spotify:track:6bdpj89aYEBjhpsenXAsmO,"A.R. Rahman, Arijit Singh",Enna Sona,Sony Music Entertainment India Pvt. Ltd.,34,163,55,163037,2020-03-12
171,spotify:track:0rk2X5TAhraBC5aCIXK2Rq,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal",Samjhawan,Sony Music Entertainment India Pvt. Ltd.,70,170,55,162709,2020-03-12
172,spotify:track:7FGq80cy8juXBCD2nrqdWU,"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),Friends Keep Secrets/Interscope Records,25,169,55,162697,2020-03-12
173,spotify:track:6p2o4ep90wpkh0qzUmyFuO,"Arijit Singh, Mithoon, Asees Kaur",Intezaar,Universal Music India Pvt Ltd.,60,172,18,162649,2020-03-12
174,spotify:track:01AE1MgL6L86WQzh4KGDUa,"Meet Bros., Jubin Nautiyal, Dhvani Bhanushali","Kinna Sona (From ""Marjaavaan"")",T-Series,31,166,18,162140,2020-03-12
175,spotify:track:09PGubKAMryhOWv1LHpCYz,"Lauv, Anne-Marie","fuck, i'm lonely",Lauv,24,-1,25,161171,2020-03-12
176,spotify:track:1C9SYGI40nNYh98gN87Fwr,"Javed Ali, Devi Sri Prasad",Nee Kannu Neeli Samudram - Telugu,Aditya Music,176,-1,1,160966,2020-03-12
177,spotify:track:6cARnc9YVlBNigjNSX63pp,"Neha Kakkar, Dhvani Bhanushali, Ikka","Dilbar (From ""Satyameva Jayate"")",T-Series,28,179,55,160895,2020-03-12
178,spotify:track:2nCKF3gkwHCamm3f0jNaJd,"Akhil Sachdeva, Antara Mitra, Arijit Singh, Benny Dayal, Dhvani Bhanushali, Karan Sehmbi, Nikhita Gandhi, Rahat Fateh Ali Khan, Sachet Tandon, Shreya Ghoshal, Tulsi Kumar, Rashmi Virag, DJ Yogii",Love Mashup 2019,T-Series,176,191,16,160174,2020-03-12
180,spotify:track:2YpeDb67231RjR0MgVLzsG,"Lil Nas X, Billy Ray Cyrus",Old Town Road (feat. Billy Ray Cyrus) - Remix,Columbia,2,171,49,159340,2020-03-12
182,spotify:track:6NfrH0ANGmgBXyxgV2PeXt,Bad Bunny,La Difícil,Rimas Entertainment LLC,182,-1,1,157460,2020-03-12
183,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,84,190,28,157300,2020-03-12
184,spotify:track:5KawlOMHjWeUjQtnuRs22c,"BTS, Halsey",Boy With Luv (feat. Halsey),BIGHIT MUSIC,1,178,42,157281,2020-03-12
185,spotify:track:6yzxDlblhlYBepcieip20S,B Praak,"Jannat (From ""Sufna"")",Times Music,176,176,3,157165,2020-03-12
186,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,"DJ Snake, Justin Bieber",Let Me Love You,DJ Snake Def Jam,109,189,55,156804,2020-03-12
187,spotify:track:0loZn1c5heXie7OAtvK6nH,"Jubin Nautiyal, Rocky - Shiv",Humnava Mere,T-Series,187,-1,5,156108,2020-03-12
188,spotify:track:0l6g8Z8mqGbGXFOjigYetD,"Pritam, Arijit Singh",Hawayein,Sony Music Entertainment India Pvt. Ltd.,51,184,55,155871,2020-03-12
189,spotify:track:5zEx8v8GJKoTx55zGeq8me,"Sachin-Jigar, Arijit Singh, Bohemia","Dua Karo (From ""Street Dancer 3D"")",T-Series,30,153,9,155838,2020-03-12
190,spotify:track:6fTEiqvwttauVDmDmDwD2T,"QARAN, Badshah",Tareefan,Zee Music Company,39,198,55,155279,2020-03-12
191,spotify:track:6kls8cSlUyHW2BUOkDJIZE,"Ellie Goulding, Juice WRLD",Hate Me (with Juice WRLD),Polydor Records,62,188,24,153846,2020-03-12
192,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,Juice WRLD Mixtape / ISR P&D,24,195,18,153265,2020-03-12
193,spotify:track:4nKc9yiwXWlEByq1oMfHU6,"Dino James, Kaprila",Dooriyan (feat. Kaprila),SME India Pvt. Ltd./ Kurian and Company,67,200,13,152739,2020-03-12
194,spotify:track:7eQl3Yqv35ioqUfveKHitE,"Pritam, Mohit Chauhan, Irshad Kamil",Tum Se Hi,T-Series,192,192,3,151487,2020-03-12
195,spotify:track:2X72RoxsswQEfzOWYDSBWD,"Pritam, Arijit Singh",Rahogi Meri,Sony Music Entertainment India Pvt. Ltd.,57,137,4,150441,2020-03-12
196,spotify:track:6Kynli1iHBqJRWUCohcV9h,DIVINE,Kaam 25 - Sacred Games,Netflix India Originals LLC,66,199,49,149781,2020-03-12
197,spotify:track:0H2iJVgorRR0ZFgRqGUjUM,"Pritam, Arijit Singh",Channa Mereya,Sony Music Entertainment India Pvt. Ltd.,58,194,55,149724,2020-03-12
198,spotify:track:39vrbjCMTRXEdiIr2IsBgd,Badshah,She Move It Like,Sony Music Entertainment India Pvt. Ltd.,14,-1,53,149496,2020-03-12
199,spotify:track:0GjqrBfz3XscHBeuTqHAup,"Anurag Kulkarni, Mahati Swara Sagar",Singles Anthem - Telugu,Aditya Music,199,-1,1,149359,2020-03-12
200,spotify:track:12V0iduYsoXxsQYTSeFB2H,Jass Manak,Viah,GEET MP3,67,185,48,149125,2020-03-12
