main_artist,max_rank,min_rank,num_songs,num_dates,IsGirlGroup,IsBoyGroup,IsMixedGroup,Longest_Charting_TimeDays,Shortest_Charting_TimeDays,MinEndDate_Year,MinEndDate_Month,MinEndDate_Day,MaxEndDate_Year,MaxEndDate_Month,MaxEndDate_Day,first_artist_rank
Lauren Spencer Smith,174,134,1,5,0,0,0,1268,1240,2022,1,3,2022,2,27,174
Lauv,200,10,14,159,0,0,0,1611,57,2021,1,1,2025,12,31,190
Lay Bankz,169,150,1,3,0,0,0,435,421,2024,4,2,2024,5,25,169
League of Legends,194,10,2,41,0,0,0,638,358,2023,1,1,2024,12,30,44
Leah Kate,197,197,1,1,0,0,0,1135,1135,2022,5,26,2022,5,26,197
Lee Mujin,198,11,9,144,0,0,0,1478,1,2021,1,1,2025,12,31,113
Lee Young Ji,200,6,7,74,0,0,0,1338,176,2021,1,1,2025,12,31,47
LeeHi,198,29,9,47,0,0,0,1611,134,2021,1,1,2025,12,30,166
Leellamarz,200,23,19,58,0,0,0,1317,8,2021,1,1,2025,12,31,186
Leina,171,95,1,4,0,0,0,176,155,2025,1,9,2025,1,30,95
Lewis Capaldi,195,42,3,25,0,0,0,1611,1023,2021,2,1,2022,9,29,45
LiSA,199,105,1,10,0,0,0,1604,1520,2021,2,1,2021,5,29,168
Lil Durk,171,140,1,4,0,0,0,771,750,2023,5,1,2023,6,25,166
Lil Mosey,199,125,1,8,0,0,0,1597,1541,2021,2,1,2021,4,25,126
Lil Moshpit,118,118,1,1,0,0,0,435,435,2024,4,25,2024,4,25,118
Lil Nas X,195,6,10,111,0,0,0,1597,533,2021,1,1,2024,12,31,169
Lil Tecca,174,106,2,6,0,0,0,99,15,2025,3,3,2025,6,27,133
Lil Tjay,200,13,2,14,0,0,0,1597,1184,2021,2,1,2022,5,29,27
Lil Uzi Vert,192,136,1,11,0,0,0,904,834,2023,1,2,2023,3,26,155
Lim Changjung,200,100,2,8,0,0,0,1611,1156,2021,2,4,2022,5,28,162
Lim Jae Hyun,200,65,3,82,0,0,0,792,1,2023,1,1,2025,12,31,179
Lim Young Woong,200,5,27,190,0,0,0,1324,1,2021,1,1,2025,12,31,193
Linkin Park,187,78,2,8,0,0,0,295,225,2024,9,3,2024,11,26,187
Livingston,168,155,1,2,0,0,0,456,449,2024,4,4,2024,4,11,168
Lizzo,198,16,3,37,0,0,0,1415,869,2021,2,1,2023,10,30,16
Lizzy McAlpine,183,158,1,3,0,0,0,848,834,2023,3,9,2023,3,23,183
Loco,199,66,4,25,0,0,0,1401,8,2021,3,1,2025,9,31,121
Loopy,153,85,1,4,0,0,0,204,183,2024,1,2,2025,12,26,85
Lorde,130,30,2,5,0,0,0,1478,1408,2021,6,1,2021,8,26,30
Los Legendarios,194,194,1,2,0,0,0,1527,1520,2021,4,6,2021,5,29,194
Lost Frequencies,197,180,1,4,0,0,0,1345,1310,2021,10,2,2021,12,28,197
M.O.M,200,10,2,41,0,0,0,1464,1051,2021,3,1,2022,12,31,19
MAKTUB,200,14,3,39,0,0,0,1373,1,2021,1,2,2025,12,31,200
MAMAMOO,167,94,2,4,1,0,0,1485,974,2021,6,3,2022,11,27,146
MARK,200,12,5,19,0,0,0,1240,22,2022,2,1,2025,6,27,12
MAVE:,166,58,1,5,1,0,0,869,841,2023,2,2,2023,3,23,63
MAX,198,34,3,42,0,0,0,1611,400,2021,2,1,2024,9,30,114
MEDUZA,179,66,1,8,0,0,0,1611,1562,2021,2,4,2021,3,25,179
MEENOI,198,111,2,2,0,0,0,1191,596,2022,3,16,2023,11,31,111
MEOVV,198,4,5,27,1,0,0,295,1,2024,1,1,2025,12,31,12
MI,99,99,1,1,0,0,0,1352,1352,2021,10,21,2021,10,21,99
MINNIE,190,187,1,4,0,0,0,414,393,2024,5,6,2024,6,30,190
MINO,143,44,1,5,0,0,0,1303,1275,2021,1,6,2022,12,30,143
MIRANI,196,7,5,58,0,0,0,1611,1212,2021,1,1,2022,12,30,156
MIYEON,195,68,1,10,0,0,0,1156,1093,2022,5,2,2022,7,30,68
MONSTA X,200,39,11,13,0,1,0,1485,876,2021,1,2,2023,12,26,145
Madison Beer,182,113,1,4,0,0,0,1457,1436,2021,7,8,2021,7,29,115
Mae Stephens,195,154,1,7,0,0,0,813,771,2023,4,4,2023,5,27,195
Mairee,175,175,1,1,0,0,0,827,827,2023,3,30,2023,3,30,175
Majestic,198,198,1,1,0,0,0,1464,1464,2021,7,1,2021,7,1,198
Mariah Carey,193,5,4,32,0,0,0,1331,190,2021,1,1,2024,12,30,122
Maroon 5,200,13,5,88,0,1,0,1611,1,2021,1,1,2025,12,31,101
Marshmello,200,18,4,89,0,0,0,1611,988,2021,1,1,2022,12,31,134
Martin Garrix,180,134,2,2,0,0,0,1506,1422,2021,5,12,2021,8,20,180
