rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
175,spotify:track:6OaVWaGfhXn70ZJfdVcabn,Travis Scott,NO BYSTANDERS,Cactus Jack / Epic,57,57,2,341216,2018-08-16
176,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,"Khalid, 6LACK, Ty Dolla $ign",OTW,"Right Hand Music Group, LLC/RCA Records",64,191,17,340740,2018-08-16
177,spotify:track:0UvCh63URrLFcPkKt99hHd,Oasis,Don't Look Back in Anger - Remastered,Big Brother,44,183,61,340718,2018-08-16
178,spotify:track:4j3GWI86JvSaF0BLdmgcfF,Childish Gambino,Summertime Magic,Wolf+Rothstein/RCA Records,32,113,5,340646,2018-08-16
179,spotify:track:021oUsG0NYI7YuJK6c0ecG,Lily James,The Name Of The Game,Polydor Records,162,170,3,340281,2018-08-16
180,spotify:track:0GVuLQtPXFaL18ijEOqoAa,Michelle Williams,Tightrope,Atlantic Records,61,189,31,340250,2018-08-16
181,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,Shut Up and Dance,RCA Records Label,132,180,27,339886,2018-08-16
182,spotify:track:6rPO02ozF3bM7NnOV4h6s2,"Luis Fonsi, Daddy Yankee, Justin Bieber",Despacito - Remix,Republic/UMLE,1,164,70,337573,2018-08-16
183,spotify:track:5vAEnWrHxLv78uwZrAJcX6,"Nicki Minaj, The Weeknd",Thought I Knew You (feat. The Weeknd),Young Money/Cash Money Records,183,-1,1,336017,2018-08-16
184,spotify:track:6lD9nDl7jBUSIPDMAMZjuD,"Sigma, Louis III",Anywhere,All Around The World,181,181,2,333196,2018-08-16
185,spotify:track:59D6pNWyn8UXPpos5fbAqm,"Sigala, The Vamps",We Don't Care,Ministry of Sound Recordings,185,-1,1,332772,2018-08-16
