main_artist,source0,source1,source2,source3,source4,source5,source6,# streams
BTS,BIGHIT MUSIC,"","","","","","",3807726
9umba,Sowetocool,"","","","","","",3797403
Bruno Mars,Aftermath Entertainment,Atlantic,"","","","","",3769610
Gracie Abrams,Gracie Abrams under exclusive license to Interscope Records,"","","","","","",3744057
Tevin Campbell,Rhino,Warner Records,"","","","","",3704944
Ntokzin,Groove Natives Productions,"","","","","","",3682746
Chappell Roan,Chappell Roan PS, Island,"","","","","",3682614
5 Seconds of Summer,Capitol,"","","","","","",3649183
J. Cole,Cole World Inc. under exclusive license to Interscope Records,"","","","","","",3628176
TNK MusiQ,New Money Gang Records,"","","","","","",3619564
Adele,XL Recordings,"","","","","","",3605677
Nasty C,Def Jam Recordings,"","","","","","",3562730
Tems,RCA Records,Since 93',"","","","","",3558383
DJ Lag,Black Major x Ice Drop,"","","","","","",3556123
6LACK,LVRN Records,"","","","","","",3542202
DJ Janisto,4058680 Records DK,"","","","","","",3523135
Journey,Columbia,"","","","","","",3489369
Loatinover Pounds,Punyete Premier League,"","","","","","",3447476
Tems,Since 93,RCA Records,"","","","","",3443322
Luxury SA,Luxury SA Entertainment,"","","","","","",3442566
uLazi,Mguzuguzu Records,"","","","","","",3420565
Sam Smith,EMI,"","","","","","",3416524
Mark Ambor,Hundred Days Records LLC,"","","","","","",3404366
Umlabalaba,1962225 Records DK,"","","","","","",3371070
Travis Scott,Cactus Jack, Epic, Grand Hustle,"","","","",3358459
Maverick Muji,Muji Records,"","","","","","",3355411
Fezeka Dlamini,Sginci Media,"","","","","","",3319618
Die Piesangskille,Universal Music (Pty) Ltd.,"","","","","","",3292921
Baby Keem,Columbia,"","","","","","",3261107
Makhadzi,Open Mic Productions,"","","","","","",3232960
Brendan Peyper,Select,"","","","","","",3232026
Young Thug,300 Entertainment,Atl,"","","","","",3219189
Busta 929,Prime Hold Consult Black is Brown,"","","","","","",3202123
Zwide,Insika Yethonga,"","","","","","",3185806
Ava Max,Atlantic Records,"","","","","","",3172387
Dean Lewis,Universal Music Australia Pty. Ltd.,"","","","","","",3157275
Uncle Waffles,Kreativekornerr,"","","","","","",3143217
Mawelele,ONE FIFTY EMPIRE,gamma.,"","","","","",3142176
PinkPantheress,Warner Records,"","","","","","",3138211
Shebeshxt,The Royal Media House Group,"","","","","","",3131550
Lizzo,Nice Life,Atlantic,"","","","","",3108580
Djo,Djo,"","","","","","",3104159
Reece Madlisa,Ama Roto Entertainment,"","","","","","",3094670
Michael Marcagi,Warner Records,"","","","","","",3092575
Khuzani,Universal Music (Pty) Ltd. Distribution Deals,"","","","","","",3092180
Kabza De Small,Piano Hub (PTY) LTD,"","","","","","",3080041
DJ Khaled,OVO,We The Best,Epic,"","","","",3077780
TxC,TXC Enterprises (PTY) LTD. under exclusive license to LVRN Records (Love Renaissance),"","","","","","",3069900
Stixx,Universal Music (Pty) Ltd.,"","","","","","",3045325
Polo G,Columbia,"","","","","","",3041749
MEDUZA,Virgin,"","","","","","",3031580
Mid9t,Mid9t,"","","","","","",3005245
Fabolous,Rhino,Elektra,"","","","","",3000439
Sizwe Nineteen,Sizwe Nineteen,"","","","","","",2999667
Oxlade,Epic,"","","","","","",2979904
Lil Tjay,Columbia,"","","","","","",2937669
French Montana,Bad Boy Entertainment,Epic Records,"","","","","",2937568
Pabi Cooper,18 Area Holdings,"","","","","","",2929076
Tycoon,Tyza Wav.,"","","","","","",2912345
Kaylow,Kaylow Publishing,"","","","","","",2866167
Goldmax,Afrotainment,"","","","","","",2833197
Central Cee,Central Cee,"","","","","","",2833098
Flo Milli,'94 Sounds,RCA Records,"","","","","",2785622
Uncle Waffles,KO-SIGN PTY LTD.,"","","","","","",2780345
Pop Smoke,Victor Victor Worldwide,Republic Records,"","","","","",2778223
Ice Beats Slide,Kreativekornerr,"","","","","","",2771328
Sonder,Sonder,"","","","","","",2761071
Topic,Virgin,"","","","","","",2753616
TNK MusiQ,Sound African Recordings,"","","","","","",2748409
Mr JazziQ,Black Is Brown Ent & Prime Hold Consulting,"","","","","","",2729171
Bazzi,iamcosmic,"","","","","","",2722434
LastBornDiroba,New Money Gang Records,"","","","","","",2718647
Sleepy Hallow,Winners Circle,RCA Records,"","","","","",2712601
YANII,Yanii Entertainment,"","","","","","",2710303
Konke,Nazma,"","","","","","",2672048
JP Saxe,Arista Records,"","","","","","",2653909
Mr JazziQ,Black Is Brown Entertainment,"","","","","","",2645507
Lil Mosey,Mogul Vision,Interscope Records,"","","","","",2641154
Joe,Jive,"","","","","","",2629945
Riaan Benad,Warner Music Africa,"","","","","","",2618638
Trevor Daniel,Alamo,"","","","","","",2618487
Zwide,6551244 Records DK,"","","","","","",2608882
Kenya Grace,Warner Records,Major Recordings,"","","","","",2583164
Steve Lacy,L-M Records,RCA Records,"","","","","",2572549
Lil Yachty,Quality Control Music,Motown Records,"","","","","",2572533
Mid9t,North West Sound Recordings,"","","","","","",2563979
Inkabi Zezwe,WM South Africa,"","","","","","",2562430
Masked Wolf,Elektra (NEK),"","","","","","",2554738
Drake,OVO,Republic Records,"","","","","",2547963
Appel,Warner Music Africa,"","","","","","",2545495
Khanyisa,Superstar Studios,"","","","","","",2520697
Nicki Minaj,Atlantic Records,"","","","","","",2513301
Ellie Goulding,Polydor Records,"","","","","","",2507432
Soa Mattrix,New Money Gang Records,"","","","","","",2486015
OneRepublic,Mosley Music,Interscope Records,"","","","","",2481814
Kizz Daniel,FlyBoy INC, EMPIRE,"","","","","",2475302
Chris Brown,Chris Brown Entertainment,300 Entertainment,RCA Records,"","","","",2475145
Joyous Celebration,Universal Music (Pty) Ltd.,"","","","","","",2474754
Mneskin,RCA Records Label,"","","","","","",2473283
Shebeshxt,4596337 Records DK,"","","","","","",2453355
