original_name,match_name,score,match_index
piano hub pti,piano hub pti,100.0,35734
amp product record,amp product record,100.0,33711
new money gang piano hub jacquel entertain group,new money gang piano hub jacquel entertain group,100.0,33836
gentl soul record,gentl soul record,100.0,34423
matiwan record pti,matiwan record pti,100.0,34431
geffen record,geffen record,100.0,34595
emi interscop,emi interscop,100.0,34605
kamo mphela entertain,kamo mphela entertain,100.0,34631
kamo mphela entertain,kamo mphela entertain,100.0,34631
rca record label nashvil,rca record label nashvil,100.0,34699
rock the worldidjkany lp7,rock the worldidjkany lp7,100.0,34719
rock the worldidjkanyelp6,rock the worldidjkanyelp6,100.0,34738
get out our dream ii def jam record,get out our dream ii def jam record,100.0,34903
rocafella,rocafella,100.0,34786
get out our dream ii def jam record,get out our dream ii def jam record,100.0,34903
sparrow spr,sparrow spr,100.0,35051
potenti record,potenti record,100.0,35222
kaylow publish,kaylow publish,100.0,35230
tsnmi atlant,tsnmi atlant,100.0,35254
kelvin momo product,kelvin momo product,100.0,35373
piano hub pti,piano hub pti,100.0,35734
pglangtop dawg entertainmentaftermathinterscop record,pglangtop dawg entertainmentaftermathinterscop record,100.0,36162
kendrick lamar under exclus licens to interscop record,kendrick lamar under exclus licens to interscop record,100.0,36481
pglang under exclus licens to interscop record,pglang under exclus licens to interscop record,100.0,36612
kendrick lamar under exclus licens to interscop record,kendrick lamar under exclus licens to interscop record,100.0,36481
major record,major record,100.0,36725
warner recordsmajor record,warner recordsmajor record,100.0,36729
beeskraal cowpunk,beeskraal cowpunk,100.0,36754
bread winner associationatlant,bread winner associationatlant,100.0,36756
good shepherd product,good shepherd product,100.0,36757
right hand music group llcrca record,right hand music group llcrca record,100.0,36758
superstar studio,superstar studio,100.0,37499
4397321 record dk,4397321 record dk,100.0,37528
uniti music africa,uniti music africa,100.0,37673
5932550 record dk,5932550 record dk,100.0,37714
soweto music entertain academi,soweto music entertain academi,100.0,37802
killorbeez record,killorbeez record,100.0,37827
wuhn shot entertain,wuhn shot entertain,100.0,37873
modana entertain,modana entertain,100.0,37877
king monada music,king monada music,100.0,37886
moreki music,moreki music,100.0,37914
zelig record llccolumbia record,zelig record llccolumbia record,100.0,37948
flyboy empir,flyboy empir,100.0,38018
empir,empir,100.0,38061
apg ff10,apg ff10,100.0,38094
