word,word_count
firework,1
captivated,1
case,1
outnumbered,1
raided,1
cornered,1
fair,1
extra,1
battle,1
pocket,1
champions,1
wind,1
health,1
sang,1
college,1
working,1
parttime,1
tables,1
flight,1
risk,1
clear,1
screamed,1
soft,1
whatever,1
making,1
brother,1
grew,1
video,1
kitchen,1
princesses,1
pirate,1
ships,1
dwarfs,1
smart,1
prettiest,1
lady,1
misty,1
watching,1
final,1
hits,1
repeating,1
leaves,1
bother,1
lasts,1
couch,1
rainstorm,1
cards,1
reckless,1
send,1
kinda,1
cory,1
finds,1
highlight,1
forgets,1
remind,1
idea,1
gay,1
rest,1
patiently,1
fingers,1
least,1
whisper,1
fullon,1
whispers,1
jungle,1
guarded,1
penny,1
stopping,1
planning,1
flash,1
forward,1
drawer,1
learn,1
parents,1
surprise,1
mistakes,1
bills,1
corys,1
twothirty,1
slipping,1
followed,1
braced,1
expired,1
