main_artist,track_name,trackAppearanceCount,artistAppearanceCount,rank,peak_rank,previous_rank,weeks_on_chart,streams,ArtistCount,isTopTen,rank difference,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Labels,main_art_track,entry rank
9umba,uMlando,31,32,51,2,49,32,50904,1,1,2,82958,38976.0,38976.0,38976.0,197.0,1.0,0.0,0.0,1.0,1.0,3,9umbauMlando,14
9umba,uMlando,32,33,49,2,51,33,55746,1,1,-2,82958,37797.0,37797.0,37797.0,173.0,1.0,0.0,0.0,1.0,1.0,3,9umbauMlando,14
9umba,uMlando,33,34,51,2,49,34,54856,1,1,2,82958,39235.0,1838923.0,55724.93939393939,55.0,33.0,75.0,44077.0,2.3636363636363638,2.1234102204664205,3,9umbauMlando,14
9umba,uMlando,34,35,77,2,51,35,42931,1,1,26,82958,46306.0,46306.0,46306.0,133.0,1.0,0.0,0.0,1.0,1.0,3,9umbauMlando,14
9umba,uMlando,35,36,80,2,77,36,43488,1,1,3,82958,27755.0,27755.0,27755.0,189.0,1.0,0.0,0.0,1.0,1.0,3,9umbauMlando,14
9umba,uMlando,36,37,65,2,80,37,48766,1,1,-15,82958,27222.0,71923.0,35961.5,114.0,2.0,72.0,17479.0,1.631578947368421,1.6420909558445376,3,9umbauMlando,14
9umba,uMlando,37,38,53,2,65,38,55099,1,1,-12,82958,29965.0,392668.0,39266.8,49.0,10.0,148.0,26381.0,4.020408163265306,1.880393792758218,3,9umbauMlando,14
9umba,uMlando,38,39,69,2,53,39,47119,1,1,16,82958,26855.0,54311.0,27155.5,179.0,2.0,20.0,601.0,1.111731843575419,1.0223794451684975,3,9umbauMlando,14
9umba,uMlando,39,40,125,2,69,40,37518,1,1,56,82958,48409.0,175423.0,87711.5,28.0,2.0,77.0,78605.0,3.75,2.6237683075461176,3,9umbauMlando,14
9umba,uMlando,40,41,133,2,125,41,37284,1,1,8,82958,34566.0,208738.0,41747.6,107.0,5.0,88.0,11626.0,1.8224299065420562,1.3363420702424347,3,9umbauMlando,14
9umba,uMlando,41,42,161,2,133,42,37598,1,1,28,82958,42457.0,242419.0,80806.33333333333,21.0,3.0,136.0,101947.0,7.476190476190476,3.4011823727536097,3,9umbauMlando,14
