rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,Start_Date
129,spotify:track:2SAqBLGA283SUiwJ3xOUVI,"Drake, Lil Durk",Laugh Now Cry Later (feat. Lil Durk),OVO,122,122,7,1263,2021-02-15
130,spotify:track:0GISuIGiksexkuD4krw6PN,BTS,Inner Child,BIGHIT MUSIC,63,151,14,1261,2021-02-15
131,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,Atlantic Records UK,112,127,14,1256,2021-02-15
132,spotify:track:05ABOPiW13nqIedJfqmfPM,Tate McRae,rubberband,RCA Records Label,132,152,5,1244,2021-02-15
133,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,Tiësto,The Business,Atlantic Records,133,148,6,1243,2021-02-15
134,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,Doja Cat,Say So,Kemosabe Records/RCA Records,125,125,7,1241,2021-02-15
135,spotify:track:5SEvxpu5ImOFOcXyeM8fbx,"CHUNG HA, R3HAB",Dream of You (with R3hab),MNH ENTERTAINMENT,135,-1,1,1238,2021-02-15
136,spotify:track:6tCssnvTUREcperDOUTqvA,ITZY,WANNABE,Republic Records - ITZY,92,149,14,1232,2021-02-15
137,spotify:track:3b80IqPWhMgFA4RXFQLpFz,"MIRANI, GroovyRoom, pH-1, HAON","Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",Stone Music Entertainment,77,103,14,1232,2021-02-15
138,spotify:track:4lFT5k1oh0tqa8HX6N2HC5,BTS,00:00 (Zero O’Clock),BIGHIT MUSIC,47,-1,12,1228,2021-02-15
139,spotify:track:5SE57ljOIUJ1ybL9U6CuBH,BTS,DNA,BIGHIT MUSIC,35,-1,14,1227,2021-02-15
140,spotify:track:0E4Y1XIbs8GrAT1YqVy6dq,Ed Sheeran,Afterglow,Atlantic Records UK,72,137,15,1221,2021-02-15
141,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,"The Chainsmokers, Halsey",Closer,Disruptor Records/Columbia,103,116,12,1215,2021-02-15
142,spotify:track:4Dr2hJ3EnVh2Aaot6fRwDO,IU,Blueming,Kakao Entertainment,137,139,7,1207,2021-02-15
143,spotify:track:26YNVqHuwAPeBVfDscTPds,aespa,Forever (약속),SM Entertainment,87,121,11,1207,2021-02-15
144,spotify:track:6mzkkz2p0Nyyp43Eedv4mS,HOMIES,Siren,G.M.S.P,109,138,12,1204,2021-02-15
145,spotify:track:0JQHGu03YJikcND4SENdiW,TOMORROW X TOGETHER,Blue Hour,Republic Records - TXT,145,-1,1,1202,2021-02-15
146,spotify:track:7iAgNZdotu40NwtoIWJHFe,"BLACKPINK, Cardi B",Bet You Wanna (feat. Cardi B),YG Entertainment/Interscope Records,56,136,15,1197,2021-02-15
147,spotify:track:7kDUspsoYfLkWnZR7qwHZl,"mgk, blackbear",my ex's best friend (with blackbear),Bad Boy/Interscope Records,147,154,7,1192,2021-02-15
148,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,Republic Records,147,147,7,1191,2021-02-15
149,spotify:track:0PoAZ7SLFpqpYR9LSCYAo8,TWICE,CRY FOR ME,Republic Records - TWICE,95,153,15,1178,2021-02-15
150,spotify:track:50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Love Yourself,RBMG/Def Jam,104,106,14,1174,2021-02-15
151,spotify:track:6RUKPb4LETWmmr3iAEQktW,"The Chainsmokers, Coldplay",Something Just Like This,Disruptor Records/Columbia,121,141,7,1172,2021-02-15
152,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,"Ed Sheeran & Justin Bieber, Justin Bieber",I Don't Care (with Justin Bieber),Atlantic Records UK,115,129,14,1169,2021-02-15
153,spotify:track:22vgEDb5hykfaTwLuskFGD,Jonas Brothers,Sucker,Jonas Brothers Recording,118,140,14,1165,2021-02-15
154,spotify:track:3aW0ds4A4tSQDIp75FqWTo,BTS,FAKE LOVE,BIGHIT MUSIC,41,-1,12,1146,2021-02-15
155,spotify:track:0eeeyCAGnGZInPtpkdYiPa,BTS,Jamais Vu,BIGHIT MUSIC,24,-1,12,1141,2021-02-15
156,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,GIVĒON,Heartbreak Anniversary,Epic/Not So Fast,156,-1,1,1137,2021-02-15
157,spotify:track:09IStsImFySgyp0pIQdqAc,"Zedd, Maren Morris, Grey",The Middle,UMGRI Interscope,129,143,14,1133,2021-02-15
158,spotify:track:22ryCgQttpV7oCrn7llGRu,BTS,Magic Shop,BIGHIT MUSIC,41,-1,13,1129,2021-02-15
159,spotify:track:6ZuahEctZD6w75peme58hm,Shawn Mendes,Wonder,Shawn Mendes LP4-5 PS/ Island,159,-1,4,1127,2021-02-15
160,spotify:track:6ePyl2ns4b7MVYhjsj32ZK,BTS,Intro: Singularity,BIGHIT MUSIC,105,-1,11,1119,2021-02-15
161,spotify:track:4lQsB3ERTWSNaAN1IkuNRl,BLACKPINK,DDU-DU DDU-DU,"2018 YG Entertainment, distributed through Interscope Records",115,150,14,1111,2021-02-15
162,spotify:track:2qG81jL9UIP54uS8gYyP4k,"Lauv, BTS",Who,Lauv,109,-1,12,1110,2021-02-15
163,spotify:track:4QvSA3gQn7DAWEwuEdHBAt,John K,parachute,Epic,140,-1,4,1094,2021-02-15
164,spotify:track:6zFMeegAMYQo0mt8rXtrli,Lil Nas X,HOLIDAY,Columbia,135,-1,4,1090,2021-02-15
165,spotify:track:6MCjmGYlw6mQVWRFVgBRvB,YOASOBI,夜に駆ける,YOASOBI,129,132,7,1089,2021-02-15
166,spotify:track:24UdklPfDXaq7Pw5UfoWpc,BTS,We are Bulletproof : the Eternal,BIGHIT MUSIC,36,-1,10,1078,2021-02-15
167,spotify:track:4ZxOuNHhpyOj4gv52MtQpT,BLACKPINK,As If It's Your Last,YG Entertainment,125,-1,11,1073,2021-02-15
168,spotify:track:1IWNylpZ477gIVUDpJL66u,"Lady Gaga, BLACKPINK",Sour Candy (with BLACKPINK),Interscope,132,-1,11,1072,2021-02-15
169,spotify:track:1ayaOin9hxCtyhg4UsBTpg,NCT 127,Kick It,SM Entertainment,67,-1,11,1068,2021-02-15
170,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,"thank u, next",Republic Records,145,145,5,1066,2021-02-15
171,spotify:track:314ZkcV7oLWG8yWE7LABvH,"BTS, Lauv",Make It Right (feat. Lauv),BIGHIT MUSIC,102,-1,11,1063,2021-02-15
172,spotify:track:5cF0dROlMOK5uNZtivgu50,Charlie Puth,Attention,Artist Partner,153,-1,8,1057,2021-02-15
173,spotify:track:2VxeLyX666F8uXCJ0dZF8B,"Lady Gaga, Bradley Cooper",Shallow,A Star is Born OST,165,-1,3,1051,2021-02-15
174,spotify:track:4T2cOfemKB0owJS2JOu7dF,"Cosmic Boy, Meego, youra","Can I Love ? (feat. youra, Meego)",STONESHIP / ADA,142,142,4,1050,2021-02-15
175,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,Darkroom/Interscope Records,151,-1,6,1049,2021-02-15
176,spotify:track:1Slwb6dOYkBlWal1PGtnNg,Ed Sheeran,Thinking out Loud,Atlantic Records UK,147,-1,7,1049,2021-02-15
177,spotify:track:1hJIbOjWpid6LtnozHmzRS,Sam Smith,Diamonds,PLG - Capitol,177,-1,1,1048,2021-02-15
178,spotify:track:0osvOdeD3YXZiWkT8MKolJ,"Jason Derulo, Adam Levine",Lifestyle (feat. Adam Levine),"Future History/Artist Partner Group, Inc.",178,-1,3,1048,2021-02-15
179,spotify:track:7fBv7CLKzipRk6EC6TWHOB,The Weeknd,The Hills,Universal Republic Records,154,-1,4,1047,2021-02-15
180,spotify:track:3Ml2s37uS9jqRM2R3bfDiB,Paul Kim,"Every day, Every Moment",SM Entertainment,71,130,13,1047,2021-02-15
181,spotify:track:696DnlkuDOXcMAnKlTgXXK,Arizona Zervas,ROXANNE,Arizona Zervas,149,-1,4,1040,2021-02-15
