main_artist,chart_country,num_songs_artist,peak_rank,Earliest End Date,Max End Date,total_streams,#_years_appeared,IsBoyGroup,IsGirlGroup,total_artistAppearanceCount,all_collaborators
Bazzi,Global,8,3,2018/01/25,2020/04/09,1235509546,3,FALSE,FALSE,157,2
Bebe Rexha,Global,7,18,2016/12/29,2020/10/22,1139124252,5,FALSE,FALSE,167,4
Bella Poarch,Global,1,20,2021/05/20,2021/09/02,199535779,1,FALSE,FALSE,15,0
Belly,Global,2,89,2021/07/29,2021/09/02,13290018,1,FALSE,FALSE,1,3
Benson Boone,Global,5,1,2021/10/28,2024/06/20,1418388974,3,FALSE,FALSE,67,0
Beyonc,Global,43,2,2017/02/16,2024/06/20,1827303731,7,FALSE,FALSE,153,19
Billie Eilish,Global,55,1,2018/04/26,2024/06/20,14144874332,7,FALSE,FALSE,1395,3
Bing Crosby,Global,7,26,2016/12/29,2023/12/28,447692379,8,FALSE,FALSE,45,3
Black Eyed Peas,Global,5,9,2019/10/17,2024/01/04,1150726784,6,FALSE,FALSE,110,5
Blxst,Global,1,85,2021/07/29,2021/11/11,105790086,1,FALSE,FALSE,15,2
Bobby Helms,Global,1,4,2016/12/29,2023/12/28,791195615,8,FALSE,FALSE,42,0
BoyWithUke,Global,2,23,2021/10/21,2022/06/02,363588001,2,FALSE,FALSE,37,1
Brenda Lee,Global,1,3,2016/12/29,2023/12/28,868187619,8,FALSE,FALSE,43,0
Britney Spears,Global,1,55,2016/12/29,2023/12/28,190944268,8,FALSE,FALSE,22,0
Bruno Mars,Global,16,4,2016/12/29,2024/06/20,5427674263,7,FALSE,FALSE,620,5
Burl Ives,Global,2,23,2016/12/29,2023/12/28,352804703,8,FALSE,FALSE,33,0
CJ,Global,1,8,2020/10/29,2021/07/08,421701405,2,FALSE,FALSE,36,0
CKay,Global,3,9,2021/09/16,2022/06/23,831983260,2,FALSE,FALSE,72,3
Calvin Harris,Global,22,2,2016/12/29,2024/06/20,3892280958,9,FALSE,FALSE,409,28
Camila Cabello,Global,26,1,2017/05/25,2024/04/11,3598679174,8,FALSE,FALSE,361,9
Cardi B,Global,20,1,2017/08/03,2023/09/14,3177261400,7,FALSE,FALSE,299,12
Carolina Gaitn - La Gaita,Global,1,8,2021/12/30,2022/05/12,267949875,2,FALSE,FALSE,19,6
Central Cee,Global,4,13,2021/09/16,2024/06/20,681783412,4,FALSE,FALSE,50,1
Charli XCX,Global,3,51,2017/08/03,2023/09/28,157265194,3,FALSE,FALSE,20,1
Charlie Puth,Global,8,5,2016/12/29,2023/11/30,2297538691,6,FALSE,FALSE,244,4
Chle,Global,1,88,2021/09/16,2021/10/28,45572324,1,FALSE,FALSE,6,0
Chris Brown,Global,9,6,2017/01/12,2023/10/05,1832608405,6,FALSE,FALSE,182,10
Clean Bandit,Global,6,3,2016/12/29,2020/11/26,2011966723,5,FALSE,FALSE,208,9
Clinton Kane,Global,1,75,2021/08/26,2021/11/18,97754402,1,FALSE,FALSE,12,0
Coi Leray,Global,1,20,2023/01/26,2023/06/22,285516533,1,FALSE,FALSE,21,0
Coldplay,Global,15,3,2016/12/29,2024/06/20,4022165042,9,FALSE,FALSE,447,4
Conan Gray,Global,3,12,2020/01/02,2024/03/21,1421410709,5,FALSE,FALSE,182,0
DJ Khaled,Global,21,2,2017/02/23,2022/09/22,2268953792,6,FALSE,FALSE,201,27
DJ Snake,Global,10,1,2016/12/29,2024/01/11,1873760844,7,FALSE,FALSE,180,17
DaBaby,Global,16,1,2019/05/02,2021/09/02,2292575826,3,FALSE,FALSE,219,9
Dan + Shay,Global,2,5,2018/04/05,2020/11/26,500455274,3,FALSE,FALSE,58,1
Daniel Caesar,Global,1,110,2019/01/03,2019/04/04,79402592,1,FALSE,FALSE,13,1
Dave,Global,4,6,2021/07/15,2024/01/18,653836907,4,FALSE,FALSE,45,2
David Guetta,Global,15,2,2017/01/05,2024/06/20,3483242503,6,FALSE,FALSE,307,19
David Kushner,Global,3,5,2022/01/13,2024/06/20,1120721833,3,FALSE,FALSE,63,0
Dean Lewis,Global,3,12,2018/07/26,2023/02/02,1063430294,6,FALSE,FALSE,142,0
Dean Martin,Global,3,6,2018/12/06,2023/12/28,595468371,6,FALSE,FALSE,44,0
Demi Lovato,Global,8,7,2017/07/13,2022/06/02,807089353,5,FALSE,FALSE,99,1
Djo,Global,1,3,2024/02/22,2024/06/20,677815698,1,FALSE,FALSE,17,0
Doja Cat,Global,23,1,2019/11/14,2024/06/20,7721588703,6,FALSE,FALSE,617,7
Dominic Fike,Global,4,51,2019/01/31,2024/06/20,416360698,5,FALSE,FALSE,61,1
Don Toliver,Global,9,26,2019/12/05,2024/06/20,554090195,5,FALSE,FALSE,72,5
Dove Cameron,Global,1,11,2022/02/17,2022/09/15,306961058,1,FALSE,FALSE,30,0
Drake,Global,158,1,2016/12/29,2024/06/20,15601481032,9,FALSE,FALSE,1493,41
Dua Lipa,Global,27,2,2017/02/16,2024/06/20,9351632109,8,FALSE,FALSE,811,6
Duncan Laurence,Global,1,23,2019/05/23,2022/03/17,489483726,3,FALSE,FALSE,58,0
Ed Sheeran,Global,61,1,2016/12/29,2024/03/28,16166726297,9,FALSE,FALSE,1835,30
Elley Duh,Global,1,11,2021/12/30,2023/02/09,663695650,3,FALSE,FALSE,58,0
Elton John,Global,5,4,2016/12/29,2024/06/20,2212562237,9,FALSE,FALSE,170,3
ElyOtto,Global,1,53,2021/02/25,2021/05/13,90467455,1,FALSE,FALSE,11,0
Em Beihold,Global,1,69,2022/02/03,2022/05/05,97874159,1,FALSE,FALSE,13,0
Eminem,Global,62,1,2017/01/05,2024/06/20,7032455394,8,FALSE,FALSE,843,28
