main_artist,track_name,streams
Ed Sheeran,The Joker And The Queen (feat. Taylor Swift),102818
SZA,Seek & Destroy,102402
Brent Faiyaz,"GRAVITY (FEAT. TYLER, THE CREATOR)",102098
The Weeknd,Take My Breath - Single Version,101614
LISA,MONEY,101574
Lewis Capaldi,Forget Me,101017
BTS,Yet To Come,100969
Riky Rick,You And I (feat. Mlindo The Vocalist),100515
SZA,Snooze,100042
Mr JazziQ,Bizaza (feat. DJ Biza & Zan'Ten),99597
Lil Baby,Real Spill,98618
Nobuhle,Malo We,98488
Beyonc,VIRGO'S GROOVE,98014
Kabza De Small,Azkhale (feat. Daliwonga),96688
Nasty C,Aye,95935
Vigro Deep,Petori to Ibiza,95467
SZA,Used (feat. Don Toliver),95188
Joji,Die For You,95010
Kelvin Momo,Blue Moon 2.0,94504
Russ,Are You Entertained (feat. Ed Sheeran),92702
The Weeknd,Take My Breath,92454
The Weeknd,"Here We Go Again (feat. Tyler, the Creator)",92364
Future,KEEP IT BURNIN (feat. Kanye West),91386
Bernice West,Sonop-Blom,91345
Beyonc,MOVE (feat. Grace Jones & Tems),90941
The Weeknd,Best Friends,90659
A-Reece,SOMETHING TO FIGHT FOR,90064
BTS,Run BTS,88897
Brent Faiyaz,WASTING TIME (FEAT. DRAKE & THE NEPTUNES),88742
Drake,Overdrive,88668
Kelvin Momo,Soweto Groove,87733
Lil Baby,Forever (feat. Fridayy),87046
Chris Brown,Possessive (feat. Lil Wayne & BLEU),86540
Steve Lacy,Dark Red,86435
Kelvin Momo,East & South,86279
Harry Styles,Satellite,85797
Harry Styles,Grapejuice,85256
Harry Styles,Love Of My Life,85045
RAYE,Escapism.,84781
DJ Khaled,USE THIS GOSPEL (feat. Ye & Eminem) - REMIX,84456
Labrinth,All For Us - from the HBO Original Series Euphoria,84454
Drake,Tie That Binds,84171
Blxckie,Khuphuka,83863
Brent Faiyaz,DEAD MAN WALKING,83124
SZA,Gone Girl,81888
Gaba Cannal,Dali Yim Lo,81695
The Chainsmokers,High,81641
Zuko SA,Qhawe lam,81368
