source,streams
Niack / Ritmo dos Fluxos,18835662
NF Real Music II,18832021
Life Song Records,18560499
StageArt Europe,18487032
SoulForce Records,18393744
Decca (UMO),18247530
"YG Entertainment, distributed through Interscope Records",18099301
Anval Music,18026514
Perros Blancos,17979343
RCA Group,17931439
Epic/300/Atlantic Recording Corporation,17899596
Universal Music Division Polydor,17517114
Fifty Shades Darker,17362922
Neighbourhood,17200922
M.A Music / 3D,16985801
10:22PM/Astralwerks,16668331
"RB Music, Inc. (RB Music/Grupo Marca Registrada)",16327613
"Future History/Artist Partner Group, Inc.",16235994
GOLD LEAGUE/DIVISION,16006427
Polar Music International AB,15968639
ersguterjunge/iGroove,15812293
OQProduções,15646619
10K Projects/Capitol Records,15537632
iHipHop Distribution,15486045
Big Loud / Mercury Records / Republic Records,15420247
Whiteheart Records/WM Germany,15278113
RCA/Legacy,14988958
Ava Music / Avrupa Müzik,14628830
Anuel AA & Karol G - Secreto,14336683
"Internet Money Records / TenThousand Projects, LLC",14263007
Field Trip Recordings/Geffen Records,14225246
El Jefe Records,14088650
Amy Grant Label (AGG),14074798
WM Sweden,13918853
Big Loud Records / Republic Records,13877985
"Young Money Records, Inc.",13837710
XO Records / Republic Records,13812029
Quality Control Music/Alamo Records/Motown Records,13574034
Victor Victor Worldwide / Republic Records,13487647
"XO | Roc Nation Records, LLC",13290018
NCS,13099396
Atlantic/Big Loud Records,12863766
Sidhu Moose Wala,12769116
Interscope / Friends Keep Secrets / Joytime Collective,12580090
Bread Winners' Association/Atlantic,12404547
"Marshmello ""Tongue Tied"" ft Yungblud & blackbear",12402011
"88rising Music/12Tone Music, LLC/Columbia",12376309
Arista,12079892
Galactic Records/Republic Records,12050104
Ritmo dos Fluxos Records,12012865
"Friends Keep Secrets, under exclusive license to Interscope Records",11801530
"Lost Kids LLC., Marketed by Venice / Stem",11604683
RBK,11536368
Heavy On It/10K Projects/Capitol Records,11455503
©️ Ⓟ 2021 Sur Capital Records ™️ ( por Tierra Agencia SRL ),11447190
Loud / Republic,11404332
TSNMI / Atlantic,10821364
Juicy Money Records,10780759
Arista France,10691967
Futura,10662527
Bad Gyal Aftercluv/Interscope,10592239
k+ produçoes,10471459
Trente-quatre Centimes,10195777
Create Music Group,10157996
Syco Music UK,9962681
Noah's Ark BV,9886144
Atlantic/WM Italy,9867102
Sony Music Catalog,9813671
Banger Musik II/WM Germany,9710912
DIEMON / Ed Sheeran appears courtesy of Asylum Records UK,9645688
Rimas Music LLC.,9463589
Access Records,8839059
Joytime Collective/Columbia,8813003
Star Island,8664899
RAL,8638360
Republic Records/Gee Roberson,8577328
Boys Don't Cry,8416507
WMI Italy,8356904
YOASOBI,8283268
Mass Appeal / NAS,8265701
Masked Records/Warner Records,8215531
"2018 Oidos Fresh, distributed by GLAD Empire",8135805
"Bearthday Music, LLC",8135136
Dirty Hit,7914985
