source,streams,count_main_artist,count_track_name
Arista Records/Columbia Records,45657,1,1
Major Tom's / Asylum,45580,1,1
MSFTSMusic / Roc Nation Records,45428,1,5
Silent Records / Social House,45248,1,1
"XO | Roc Nation Records, LLC",45242,1,2
Monkey Puzzle Records/RCA Records,43861,1,1
"Friends Keep Secrets, under exclusive license to Interscope Records",43505,1,1
Beeskraal Cowpunk,42884,1,1
This Ain't Bristol,42073,1,2
#Merky Records,41593,1,1
Asylum Records,41207,1,1
Colour Vision Records/Sony Music Entertainment,39873,1,1
Sonder Global,39650,1,1
Jay Music Production,39476,1,1
Reprise,39372,1,1
Louis The Child / Interscope,37809,1,1
Armada Music Bundles,37672,1,1
Integrity Music,37441,1,1
i am OTHER/Columbia,37177,1,1
Shake the World / EMPIRE,37138,1,1
"Warner Bros. Entertainment, Inc.",36505,1,1
Decca (UMO),36476,3,3
Epic/Legacy,36314,1,1
"Encore Recordings, LLC",36073,1,1
031Choppa,35968,1,1
Spaceship Records / EMPIRE,35626,1,1
EduardoLuzquinos2021,35196,1,1
Sire,35151,1,1
Napalm Prod,34485,1,1
Access Records,33506,1,2
Capitol Records (CAP),33332,1,1
Monstercat,33247,1,1
Spirit Motion,33244,1,3
KORATORI,33220,1,1
Mabala Noise Entertainment,32585,1,1
Ganyani Entertainment,32449,1,1
Best Laid Plans/Columbia,31975,1,1
Onnafriday Records / Island Records,31771,1,1
"XO Records, LLC and Republic Records",31143,1,1
Moon Boy University / EMPIRE,30861,1,1
Kaofela Re Mapantsula,30406,1,1
Crux Global / MOVES Recordings,30388,1,1
"Artium Recordings, LLC",30298,1,3
Syco Music UK,29646,1,1
WM Germany,29373,1,1
DJ Snake Def Jam,29346,1,1
VILLAIN MUSIQ / Top Tier Music / EMPIRE,29298,1,1
Baby Keem LLC,29114,1,1
Blaqwav Entertainment,28935,1,1
Juice WRLD / Interscope PS,28594,1,1
10:22 pm/Astralwerks,28412,1,1
"88rising Music/12Tone Music, LLC/Columbia",28329,1,1
Republic Records - Stray Kids,28318,1,1
Worldstar,28106,1,1
Atlantic Nashville,28037,1,1
Living Legends Entertainment,28033,1,1
Bread Winners' Association/Atlantic,27856,1,1
Ejarden Entertainment,27177,1,1
THEUNS JORDAAN PRODUCTIONS CC,26921,1,1
Mguzuguzu Records,26596,1,1
House of Makunene,26522,1,1
Maz Entertainment,26453,1,1
Art@War/Atlantic Records,26016,1,2
No Love Entertainment,25906,1,1
NITRON concepts,25700,1,1
Six Course Music Group/RCA Records,25503,1,1
Groove Natives,25374,1,1
DRUMROLL RECORDS,24849,1,1
RCA Victor,24683,1,1
Sweat It Out,24608,1,1
"Gamebread, LLC / Def Jam Recordings",24597,1,2
Aftermath/Interscope Records,24574,1,1
Vhudie Music,24210,1,1
Major League Music,24137,1,1
Blac Noize! Recordings,23778,1,1
Otarel Music,23719,1,1
soul spirit productions,23515,1,1
Universal Music AS,23443,1,2
emPawa Africa Limited,23425,1,1
G59 Records,23341,1,1
BoyWithUke,22922,1,1
Dingaans Day Ent,22852,1,1
"NEW MONEY GANG , PIANO HUB & JACQUEL ENTERTAINMENT GROUP",22671,1,1
RCA/BMG Heritage,22469,1,1
Bathathe Wena,22414,1,1
The T Effect,22315,1,1
Hell Beach,22292,1,1
Sparrow (SPR),22242,1,1
Selena Gomez Latin Project,22087,1,1
Royal Am Entertainment under Exclusive License to Ownit Music,21870,1,1
Piano Hub (Pty) Ltd,21869,1,1
Blonded,21722,1,2
famifellaz Entertainment Group,21646,1,1
Cutthroat Records,20830,1,1
Muthaland Entertainment,20660,1,1
WEA Latina,20249,1,2
"Future History/Artist Partner Group, Inc.",20045,1,1
RAL,19964,1,1
Dead Silence/Atlantic,19143,1,1
Joytime Collective/Columbia,18916,1,1
Dope Dreams Co.,18857,1,1
BahdGuys Entertainment,18243,1,1
"The Conglomerate Entertainment, Inc. / EMPIRE",18127,1,1
Grade A/Posty/Interscope/Republic,17816,1,1
Joytime Collective/RCA Records/Effective Records,17530,1,1
Machine Shop/Warner Records,17457,1,1
Nicki Minaj/Cash Money,17109,1,1
10 Summers/Interscope Records,17029,1,1
El World,16938,1,1
RUBBERBVNDGANG,16785,1,3
stop tryna see who put this out,16773,1,1
1501 Certified Ent/Warner Records,16529,1,1
