main_artist,Max Streams per Song,Min Streams per Song,Total Streams per Song,Mean Streams per Song,Min Position per Song,Artist Song Count,MaxMin Difference Position,MaxMin Difference Streams,MaxMin Ratio Position,MaxMin Ratio Streams,Labels
FATMAN,26620,18165,92473,23118.25,167,1,28,8455,1.1676646706586826,1.4654555463804018,2
FLETCHER,8399,6940,30914,7728.5,133,12,62,1459,1.4661654135338347,1.2102305475504322,7
Fabolous,32918,10884,2333152,21603.25925925926,97,2,98,22034,2.0103092783505154,3.0244395442851895,6
Falz,18243,18243,18243,18243.0,200,1,0,0,1.0,1.0,6
Famous Dex,6714,2695,102904,4116.16,38,1,161,4019,5.2368421052631575,2.4912801484230056,4
Fantasia,41952,10626,2626442,24546.18691588785,53,3,146,31326,3.7547169811320753,3.948051948051948,2
Farruko,29110,24208,127615,25523.0,120,1,64,4902,1.5333333333333334,1.2024950429610046,2
Felix Jaehn,2906,2906,2906,2906.0,187,1,0,0,1.0,1.0,4
FelixThe1st,40856,24831,287643,31960.333333333332,67,4,125,16025,2.8656716417910446,1.6453626515243043,8
Felo Le Tee,186289,23263,5012832,71611.88571428572,4,61,184,163026,47.0,8.007952542664317,1
