main_artist,artist_names,art_dict
Barbara Pravi,,{'Barbara Pravi': ['']}
Bas,Lil Tjay - J. Cole,"{'Bas': [' J. Cole', 'Lil Tjay ']}"
Bausa,Juju,{'Bausa': ['Juju']}
Bausa,Apache 207,{'Bausa': ['Apache 207']}
Bausa,,{'Bausa': ['']}
Bayhan,,{'Bayhan': ['']}
Bazzi,,{'Bazzi': ['']}
Bazzi,Camila Cabello,{'Bazzi': ['Camila Cabello']}
Bazzi,21 Savage,{'Bazzi': ['21 Savage']}
Bea Miller,,{'Bea Miller': ['']}
Beach Bunny,,{'Beach Bunny': ['']}
Beach House,,{'Beach House': ['']}
Beach Weather,,{'Beach Weather': ['']}
Beat Record,,{'Beat Record': ['']}
Bebe Rexha,Doja Cat,{'Bebe Rexha': ['Doja Cat']}
Bebe Rexha,Ty Dolla $ign,{'Bebe Rexha': ['Ty Dolla $ign']}
Bebe Rexha,,{'Bebe Rexha': ['']}
Bebe Rexha,Florida Georgia Line,{'Bebe Rexha': ['Florida Georgia Line']}
Bebe Rexha,Lil Wayne,{'Bebe Rexha': ['Lil Wayne']}
Becky G,DJ Luian - Mambo Kingz - Prince Royce - Anuel AA,"{'Becky G': ['DJ Luian ', ' Mambo Kingz ', ' Anuel AA', ' Prince Royce ']}"
Becky G,Peso Pluma,{'Becky G': ['Peso Pluma']}
Becky G,Paulo Londra,{'Becky G': ['Paulo Londra']}
Becky G,El Alfa,{'Becky G': ['El Alfa']}
Becky G,KAROL G,{'Becky G': ['KAROL G']}
Becky G,Bad Bunny,{'Becky G': ['Bad Bunny']}
Becky G,Natti Natasha,{'Becky G': ['Natti Natasha']}
Becky Hill,David Guetta,{'Becky Hill': ['David Guetta']}
Bele,Ovy On The Drums,{'Bele': ['Ovy On The Drums']}
Bele,,{'Bele': ['']}
Belinda,Natanael Cano,{'Belinda': ['Natanael Cano']}
Bella Poarch,,{'Bella Poarch': ['']}
Bellakath,,{'Bellakath': ['']}
Bellakath,Dani Flow,{'Bellakath': ['Dani Flow']}
Belly,Nas - The Weeknd,"{'Belly': [' The Weeknd', 'Nas ']}"
Belly,The Weeknd - Young Thug,"{'Belly': ['The Weeknd ', ' Young Thug']}"
Benson Boone,,{'Benson Boone': ['']}
Bernadya,,{'Bernadya': ['']}
Beyonc,,{'Beyonc': ['']}
