source,streams
Universal Music Latino/ NEON16,13248
RCA Camden,13147
Vth Season,13006
"1400 Entertainment, Inc. / TenThousand Projects, LLC",12814
"Roc Nation, LLC",12283
"Aftermath/12 Tone Music, LLC",12204
Machine Entertainment Group - G Herbo,11159
WM UK,10949
KSR/Atlantic,10874
Family Tree,10864
Epic/300 Entertainment/Atlantic Recordings Corporation,10855
Benny Blanco Major,10760
TakeOne Company | BigHit Entertainment,10461
Joyner Lucas,8719
Eleven Seven Music,8715
Dryden Street,8611
Kiff Records,8421
FMLY,8276
Rudebouy Major,8109
EARLY AM,8069
"2019 Real Hasta La Muerte, LLC.",7927
Scatterlings,7908
Spoegwolf (Pty) Ltd,7891
Roadrunner Records,7855
Virgin Records Ltd,7335
Top Dawg Ent./Interscope Records,7029
Creed 2 Soundtrack,6981
Verve Reissues,6497
Party In Backyard,5829
"Monster Mountain, LLC / Island",5745
Left Lane Recordings,5533
Indie,5412
Distruction boyz records,5281
Globe Field,5241
Distruction Boyz Records,4631
Honesty Saves Time/RCA Records,4461
Lava Music/Republic Records,4025
Soulful Horizons Music,3422
BlocBoy JB,3271
"Bearthday Music, LLC",2884
Found Frequencies,2731
Sony Soho Square,2419
Petit Biscuit Music,2403
Hillsong Music and Resources LLC,2279
Southeastern Records,2236
DrumbossMusik,2131
Defected Records,2090
Coke Studio Africa,2086
Quality Control Music,2046
