rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
52,spotify:track:09IStsImFySgyp0pIQdqAc,"Zedd, Maren Morris, Grey",The Middle,UMGRI Interscope,8,59,23,8877,2018-08-16
53,spotify:track:3LHYmz86DxGInsRp3wiiW5,Nicki Minaj,Ganja Burn,Young Money/Cash Money Records,53,-1,1,8643,2018-08-16
54,spotify:track:2D1MK9oaxy7axXggy3iVbp,"Nicki Minaj, Lil Wayne",Rich Sex (feat. Lil Wayne),Young Money/Cash Money Records,54,-1,4,8486,2018-08-16
55,spotify:track:0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,22,54,17,8425,2018-08-16
56,spotify:track:4ut5G4rgB1ClpMTMfjoIuy,"Martin Garrix, Bonn",High On Life (feat. Bonn),Epic Amsterdam,56,112,2,8353,2018-08-16
57,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,40,66,23,8311,2018-08-16
58,spotify:track:4zIO3ilp5HvTeK3HJHxhMP,Imagine Dragons,Natural,Kid Ina Korner / Interscope,51,81,4,8299,2018-08-16
59,spotify:track:5yNEdBlZMxpcVtGKz5NFk5,"The Chainsmokers, Emily Warren",Side Effects,Disruptor Records/Columbia,59,78,3,8246,2018-08-16
60,spotify:track:3qN5qMTKyEEmiTZD38BNTT,Drake,I'm Upset,Cash Money/Drake LP6,5,51,12,8063,2018-08-16
61,spotify:track:03It1uO69CjGWP3yyVe465,"Nicki Minaj, Swae Lee",Chun Swae (feat. Swae Lee),Young Money/Cash Money Records,61,-1,1,8055,2018-08-16
62,spotify:track:1rfofaqEpACxVEHIZBJe6W,"Camila Cabello, Young Thug",Havana (feat. Young Thug),Syco Music/Epic,18,74,23,7895,2018-08-16
63,spotify:track:7KZ5MMVgBVox9ycroB2UrI,Travis Scott,CAROUSEL,Cactus Jack / Epic / Grand Hustle,10,10,2,7879,2018-08-16
64,spotify:track:7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,Bad Vibes Forever / EMPIRE,10,65,18,7769,2018-08-16
65,spotify:track:76cy1WJvNGJTj78UqeA5zr,Dua Lipa,IDGAF,Warner Records,10,70,23,7521,2018-08-16
66,spotify:track:4mHgYpuGHu99Mw69E83CP2,Trippie Redd,Taking A Walk,"TenThousand Projects, LLC",66,-1,1,7491,2018-08-16
67,spotify:track:1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Thunder,Kid Ina Korner / Interscope,25,72,23,7486,2018-08-16
68,spotify:track:6xTU6B6nFwKKTSZ9ySXS80,"Kygo, Miguel",Remind Me to Forget,Kygo,23,79,22,7409,2018-08-16
69,spotify:track:7CKR3FcBqSsGcgce0ECe1z,Nicki Minaj,LLC,Young Money/Cash Money Records,69,-1,1,7284,2018-08-16
70,spotify:track:2RttW7RAu5nOAfq6YFvApB,Ed Sheeran,Happier,Atlantic Records UK,58,76,16,7231,2018-08-16
71,spotify:track:2ekn2ttSfGqwhhate0LSR0,Dua Lipa,New Rules,Warner Records,38,80,23,7222,2018-08-16
72,spotify:track:08bNPGLD8AhKpnnERrAc6G,"Marshmello, Anne-Marie",FRIENDS,Atlantic Records UK,5,73,23,7217,2018-08-16
