rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
164,"spotify:track:78QR3Wp35dqAhFEc2qAGjE","Lil Baby, Gunna","Drip Too Hard (Lil Baby & Gunna)","Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",41,176,63,"37456"
165,"spotify:track:1BXfrEUZFDhrVahuVT3PMK","Q Twins, Xowla, Mduduzi Ncube, Big Zulu","Alusafani","Afrotainment",108,197,19,"37429"
166,"spotify:track:4wVOKKEHUJxHCFFNUWDn0B","Drake, Giveon","Chicago Freestyle (feat. Giveon)","OVO",5,184,112,"37343"
167,"spotify:track:46ZvwmGP7q63FWnrvurH45","Felo Le Tee, TOSS","Manca","New Money Gang Records",8,-1,27,"37223"
168,"spotify:track:3kGatOFf7khj5VDO6xCt3K","Kelvin Momo, TBO, Jay Sax, Sipho Magudulela","Ixesha","Kelvin Momo Productions",72,72,2,"37158"
169,"spotify:track:05lM7Ep8UESoe3LV5yrew5","Lloyiso","Dream About You","Ambitiouz Entertainment",114,190,42,"37128"
170,"spotify:track:1oeaMSkKvv7fbHqr4a1sQB","Kelvin Momo, Babalwa M, Makhanj","Emaphupeni","Kelvin Momo Productions",65,65,2,"36991"
171,"spotify:track:6L4XGeAdRRC32vVJpp8MdM","Juice WRLD","Face 2 Face","Grade A Productions/Interscope Records",171,-1,1,"36910"
172,"spotify:track:3baPniPXS0iEII8rDUJdYP","Lojay, Sarz, Chris Brown","Monalisa","Metallic Music/1789",59,-1,25,"36886"
173,"spotify:track:2taxU3fZHbDBglLazyNmDc","Kelvin Momo, Babalwa M","Phumelela","Kelvin Momo Productions",69,69,2,"36720"
174,"spotify:track:5z6oqX6l6kTSPB9gSRnLzE","Uncle Waffles, Tony Duardo, Sino Msolo, BoiBizza","Tanzania","Kreativekornerr",1,-1,36,"36651"
175,"spotify:track:4bHsxqR3GMrXTxEPLuK5ue","Journey","Don't Stop Believin'","Columbia",73,-1,214,"36385"
176,"spotify:track:5JGkomhAMrzfikSR4BGuYh","Lianie May","Bietjie Benoni","WM South Africa",176,-1,1,"36299"
177,"spotify:track:0hquQWY3xvYqN4qtiquniF","Doja Cat","Vegas (From the Original Motion Picture Soundtrack ELVIS)","Kemosabe Records/RCA Records",14,188,31,"36260"
178,"spotify:track:2eAvDnpXP5W0cVtiI0PUxV","Ruth B.","Dandelions","Columbia",56,191,49,"36202"
179,"spotify:track:5dVd3tBZQhOctXiq2jwrhD","Samthing Soweto","Amagents","Youbuntu",1,196,26,"36171"
180,"spotify:track:7rmpguwTH3XwEPZMSeL4RH","Lowsheen, Master KG, Nkosazana Daughter","Thula","Wanitwa Mos Entertainment",32,-1,17,"36154"
181,"spotify:track:1BD0zWpMD6TyO4VwTeSgVK","Focalistic, Kabza De Small, Mellow & Sleazy, Myztro, M.J","Tabela Hape","18 Area Holdings",100,-1,7,"36056"
182,"spotify:track:2qWwuCVeMjF9mUT0S5Iqvl","Fireboy DML, Asake","Bandana","YBNL Nation / EMPIRE",102,-1,12,"35994"
183,"spotify:track:7l2nxyx7IkBX5orhkALg0V","Drake, 21 Savage","Privileged Rappers","OVO / Republic Records",6,181,7,"35634"
184,"spotify:track:6TVcrV4TEhQiuKjU5Tactz","Die Heuwels Fantasties, Appel","Nora Vlok","Supra Familias",173,173,2,"35487"
185,"spotify:track:3XgGQ1wjo5khvq2UImjyNF","Brent Faiyaz","ALL MINE","Lost Kids LLC., Marketed by Venice / Stem",17,-1,20,"35464"
186,"spotify:track:7GaFYUqP2WdR4KTPk7cXoP","Mario","Let Me Love You","J Records",120,198,212,"35432"
187,"spotify:track:6n3HGiq4v35D6eFOSwqYuo","Drake","Teenage Fever","Cash Money Records/Young Money Ent./Universal Rec.",70,-1,41,"35427"
188,"spotify:track:7GeTsDIc5ykNB6lORO6Cee","Drake, 21 Savage","Circo Loco","OVO / Republic Records",9,189,7,"35378"
189,"spotify:track:0qHCv51I6lwyBPFum2jyDB","Kelvin Momo","N'wana Wa Mutsonga","Kelvin Momo Productions",24,24,2,"35356"
190,"spotify:track:3gmKj3ulv2GGeW4JkmphHE","Lloyiso","Seasons","Universal Music (Pty) Ltd.",62,-1,62,"35286"
191,"spotify:track:2Sjx8DWZO5zaTyTAmgo2gY","SZA","Gone Girl","Top Dawg Entertainment/RCA Records",58,58,2,"35235"
192,"spotify:track:76OGwb5RA9h4FxQPT33ekc","Rosa Linn","SNAP","Columbia",56,200,23,"35184"
193,"spotify:track:11BKm0j4eYoCPPpCONAVwA","Lady Gaga","Bloody Mary","Interscope",158,174,3,"35025"
194,"spotify:track:4gDvK31eabo3RoaDYI6B9E","Vigro Deep, M.J","Petori to Ibiza","Rinse",84,175,3,"34813"
195,"spotify:track:2374M0fQpWi3dLnB54qaLX","TOTO","Africa","Columbia",81,-1,124,"34693"
196,"spotify:track:0GONea6G2XdnHWjNZd6zt3","Bryan Adams","Summer Of '69","A&M",135,-1,32,"34692"
197,"spotify:track:37F7E7BKEw2E4O2L7u0IEp","Freddie Dredd","Limbo","Doomshop Records/RCA Records",89,187,6,"34683"
198,"spotify:track:7oNaAYHagyDVzB8YoyhuMm","Riaan Benadé, Ricus Nel","Haai Haai","WM South Africa",177,-1,2,"34492"
199,"spotify:track:03GRsjCSytQo3LuspJayKT","9umba, TOSS, Mdoovar, Sir Trill, Sino Msolo, Lady Du, Young Stunna, Slade","uMlando","Sowetocool",2,-1,43,"34286"
200,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",12,-1,158,"34278"
