rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
175,"spotify:track:2HdkhaLnAPEzRjRZsMlQWT","Rexxie, Naira Marley, Skiibii, Wizkid","Abracadabra - Remix","HitxlabNG / Dvpper Music",29,151,17,"51415"
176,"spotify:track:77eZIuMTB9HrQ86L4ljqEX","Fave","Baby Riddim","TUMBLAR under exclusive license to emPawa Africa Limited",16,146,69,"51015"
177,"spotify:track:4Gasn91fsCefnN8zM5GjA8","Pheelz, Bnxn","Finesse","Rii Collective",1,174,67,"50891"
178,"spotify:track:3kvfr5h3oQuJHbkEfg2R3U","Davido, Skepta","U (JUJU) (feat. Skepta)","Columbia",15,140,10,"50798"
179,"spotify:track:5p8e2CxX9frZepKoc8E9Z4","T.I BLAZE","Try","Dvpper Music",33,171,68,"49976"
180,"spotify:track:0u2P5u6lvoDfwTYjAADbn4","Billie Eilish, Khalid","lovely (with Khalid)","Darkroom",138,185,46,"49837"
181,"spotify:track:7iTTWHbr4tAlsRJN4m4bay","Lil Yachty","Strike (Holster)","Quality Control Music/Motown Records",95,154,9,"49775"
182,"spotify:track:6gYHfdySsN4Hqvr4f0g3BX","Adekunle Gold","Do You Mind?","Adekunle Gold PS/ Def Jam",93,93,2,"49626"
183,"spotify:track:2IBrgYf3Hjw16c6oNwkZ9M","Young Jonn, Davido","Dada (feat. Davido) [Remix]","Chocolate City Music",5,165,58,"48765"
184,"spotify:track:1DrfpnLvbwndPScRLwbUE0","Kizz Daniel","Pour Me Water","FlyBoy INC / EMPIRE",42,191,69,"48626"
185,"spotify:track:5q56SF85lKZBWF597tOcX2","Zinoleesky","Call of Duty","Marlian Music",4,190,41,"48582"
186,"spotify:track:7oDSvHJUY3NPdH9YKiCQwe","Seyi Vibez","Para Boi","Vibez Inc / Dvpper Music",18,182,18,"48452"
187,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",26,181,50,"48201"
188,"spotify:track:2XuLnQELesgnkCGZbSJHO0","Lil Kesh, Zinoleesky","Don't Call Me (feat. Zinoleesky)","Ziiki Media",6,-1,63,"48090"
189,"spotify:track:69wfr7vTgYSqSC3zO63uZ2","Blaqbonez, JAE5","BACK IN UNI","Chocolate City Music",9,157,35,"47815"
190,"spotify:track:0lTUcfkmtQPp6mhjC6EBPq","Magixx","Colors (My Baby)","Mavin Records",59,129,11,"47579"
191,"spotify:track:4sBdVhBFhVKrTssvMdDzUw","ODUMODUBLVCK","Gutter Man","Topboy Music",87,149,11,"47164"
192,"spotify:track:2mqNeI4vUehnhVwSkCrQnR","Davido, Focalistic","Champion Sound","Columbia",19,160,58,"46957"
193,"spotify:track:0DxBucbIM0unAoubGFRl9J","Reminisce, Mohbad","Shina Peters","LESROSESROUGE ENTERTAINMENT",193,-1,1,"46786"
194,"spotify:track:0s5nhb6ts6uCKAVnGg46y6","Burna Boy, Victony","Different Size (feat. Victony)","Spaceship Entertainment Ltd.",3,168,48,"46638"
195,"spotify:track:3qvZW1bLvAsJIUhYcuvf4F","Burna Boy, Stormzy","Real Life (feat. Stormzy)","Spaceship Entertainment Ltd.",78,-1,39,"46569"
196,"spotify:track:2eAvDnpXP5W0cVtiI0PUxV","Ruth B.","Dandelions","Columbia",140,195,47,"46561"
197,"spotify:track:1J12nWQKjodPf436e61Orp","Iyanya, Bnxn","Sinner","Ziiki Media",102,184,5,"46388"
198,"spotify:track:2AKS1HhpLu2rgkojECUm3V","Fireboy DML","Playboy","YBNL Nation / EMPIRE",4,-1,60,"46100"
199,"spotify:track:1bDbXMyjaUIooNwFE9wn0N","Drake, 21 Savage","Rich Flex","OVO / Republic Records",11,183,31,"45849"
200,"spotify:track:1s7oOCT8vauUh01PbJD6ps","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",26,193,41,"45581"
